Energy Savings Regressions,None,None_1,None_2,None_3,None_4,None_5,Regression Form (a+bx+cx^2),None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28,None_29,None_30,None_31,None_32,None_33,None_34,None_35,None_36,None_37,None_38,None_39,None_40,None_41,None_42,None_43,None_44,None_45,None_46,None_47,None_48,None_49,None_50,None_51,None_52,None_53,None_54,None_55,None_56,None_57,None_58,None_59,None_60,None_61,None_62,None_63,None_64,None_65,None_66,None_67,None_68,None_69,None_70,None_71,None_72,None_73,None_74,None_75,None_76,None_77
,,,,,,,Heating Coefficients,,,Cooling Coefficients,,,Notes/Assumptions,Heating Savings Curve Comparisons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,SGS Type,Office Size,HVAC/Fuel Type,Fuel Type,Hours,a,b,c,a,b,c,,HDD,1 v 10,,% delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,Single,Mid,PVAV_Elec,Electric,2080,0.8704668255999,0.0016759854,-5.82e-08,2.40428856,0.0005625127,-9.7e-09,,0,=$H$4+$I$4*O4+$J$4*O4^2,=$H$13+$I$13*O4+$J$13*O4^2,=(P4-Q4)/P4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Single,Single,Mid,PVAV_Elec,Electric,2912,1.6949778209999,0.002305175,-8.55e-08,3.7647661055,0.0011532145,-6.65e-08, ,1000,=$H$4+$I$4*O5+$J$4*O5^2,=$H$13+$I$13*O5+$J$13*O5^2,=(P5-Q5)/P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Single,Single,Mid,PVAV_Elec,Electric,8760,16.0040605697998,0.0025681481,-6.39e-08,6.1823179497,0.0040023765,-2.414e-07,,2000,=$H$4+$I$4*O6+$J$4*O6^2,=$H$13+$I$13*O6+$J$13*O6^2,=(P6-Q6)/P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Single,Double,Mid,PVAV_Elec,Electric,2080,1.2309323298999,0.0012506949,-9.1e-09,4.2025198124,0.0010760659,-7.28e-08,,3000,=$H$4+$I$4*O7+$J$4*O7^2,=$H$13+$I$13*O7+$J$13*O7^2,=(P7-Q7)/P7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Single,Double,Mid,PVAV_Elec,Electric,2912,1.9904024125999,0.001829134,-2.58e-08,5.4562582094,0.0024884702,-2.236e-07,,4000,=$H$4+$I$4*O8+$J$4*O8^2,=$H$13+$I$13*O8+$J$13*O8^2,=(P8-Q8)/P8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Single,Double,Mid,PVAV_Elec,Electric,8760,19.7294308199997,0.00194868,-3.6e-08,7.49238888,0.0055275,-3.6e-07,,5000,=$H$4+$I$4*O9+$J$4*O9^2,=$H$13+$I$13*O9+$J$13*O9^2,=(P9-Q9)/P9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Double,Single,Mid,PVAV_Elec,Electric,2080,0.36808555,0.000782236,-2.94e-08,1.2340869921184,0.0008629079321,-8.2844e-08,,6000,=$H$4+$I$4*O10+$J$4*O10^2,=$H$13+$I$13*O10+$J$13*O10^2,=(P10-Q10)/P10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Double,Single,Mid,PVAV_Elec,Electric,2912,0.9020940767999,0.000852242,-1.84e-08,1.2423496865765,0.0018366905584,-1.705787e-07,,7000,=$H$4+$I$4*O11+$J$4*O11^2,=$H$13+$I$13*O11+$J$13*O11^2,=(P11-Q11)/P11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Double,Single,Mid,PVAV_Elec,Electric,8760,10.3088854007999,0.000609651,-6.3e-09,1.6695080451,0.0033280569,-2.268e-07,,8000,=$H$4+$I$4*O12+$J$4*O12^2,=$H$13+$I$13*O12+$J$13*O12^2,=(P12-Q12)/P12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Single,Single,Large,VAV,Electric,2080,1.0450550325248,0.0018045978188,-6.21761e-08,2.9951823980196,0.0005443622678,-1.19223e-08,,9000,=$H$4+$I$4*O13+$J$4*O13^2,=$H$13+$I$13*O13+$J$13*O13^2,=(P13-Q13)/P13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Single,Single,Large,VAV,Electric,2912,1.9632126070335,0.0024799912346,-8.4257e-08,4.6910108842017,0.001137080156,-6.83714e-08,,10000,=$H$4+$I$4*O14+$J$4*O14^2,=$H$13+$I$13*O14+$J$13*O14^2,=(P14-Q14)/P14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Single,Single,Large,VAV,Electric,8760,17.8816654897182,0.0027347243182,-6.95067e-08,7.8630931031137,0.0041844902139,-2.586553e-07,,11000,=$H$4+$I$4*O15+$J$4*O15^2,=$H$13+$I$13*O15+$J$13*O15^2,=(P15-Q15)/P15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Single,Double,Large,VAV,Electric,2080,1.4247504147596,0.0013539388697,-1.02647e-08,5.1829375742786,0.0010798818489,-8.23568e-08,,12000,=$H$4+$I$4*O16+$J$4*O16^2,=$H$13+$I$13*O16+$J$13*O16^2,=(P16-Q16)/P16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Single,Double,Large,VAV,Electric,2912,2.3365575077674,0.0019451616135,-2.53086e-08,6.7949827164281,0.0025987321275,-2.47981e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Single,Double,Large,VAV,Electric,8760,22.0221531037359,0.0020809483691,-4.09881e-08,9.501888482849,0.0059375221572,-4.190441e-07,,HDD,2 v 11,,% delta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Double,Single,Large,VAV,Electric,2080,0.4341957405138,0.0008523278452,-3.20548e-08,1.5493838764825,0.0009156790468,-9.29136e-08,,0,=$H$5+$I$5*O19+$J$5*O19^2,=$H$14+$I$14*O19+$J$14*O19^2,=(P19-Q19)/P19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Double,Single,Large,VAV,Electric,2912,1.0306121837467,0.0009311200195,-2.07232e-08,1.5594199852179,0.0020586147562,-2.048639e-07,,1000,=$H$5+$I$5*O20+$J$5*O20^2,=$H$14+$I$14*O20+$J$14*O20^2,=(P20-Q20)/P20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Double,Single,Large,VAV,Electric,8760,11.4975939563842,0.0006222103899,-5.8971e-09,2.211453250257,0.003671073438,-2.630677e-07,,2000,=$H$5+$I$5*O21+$J$5*O21^2,=$H$14+$I$14*O21+$J$14*O21^2,=(P21-Q21)/P21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Single,Single,Mid,PVAV_Gas,Natural Gas,2080,0.0426946026036,8.18668214e-05,-2.8552e-09,2.40428856,0.0005625127,-9.7e-09,,3000,=$H$5+$I$5*O22+$J$5*O22^2,=$H$14+$I$14*O22+$J$14*O22^2,=(P22-Q22)/P22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
