Energy Savings Regressions,None,None_1,None_2,None_3,None_4,Regression Form (a+bx+cx^2),None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28,None_29,None_30,None_31,None_32,None_33,None_34,None_35,None_36,None_37,None_38,None_39,None_40,None_41,None_42,None_43,None_44,None_45,None_46,None_47,None_48,None_49,None_50,None_51,None_52,None_53,None_54,None_55,None_56,None_57,None_58,None_59,None_60,None_61,None_62,None_63,None_64,None_65,None_66,None_67,None_68,None_69,None_70,None_71,None_72,None_73,None_74,None_75,None_76,None_77
,,,,,,Heating Coefficients,,,Cooling Coefficients,,,Notes/Assumptions (change from red to black when coefficients are dialed in),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,CSW Type, ,HVAC Type,Fuel,a,b,c,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,Single, ,FCU,Elec,0.0539606627274,0.0021447734517,-1.7946e-09,0.9580869903348,0.0002210215953,-1.2262e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Single,Double, ,FCU,Elec,0.137790515331,0.0019760606191,-5.2529e-09,1.3489000170936,0.0007138771339,-1.95986e-08, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Double,Single, ,FCU,Elec,0.0037852737812,0.0010767119461,7.4261e-09,0.8103114696555,0.0001894804654,-2.1621e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Single,Single, ,VAV,Elec,0.284787898,0.0029383726,-2.75e-08,3.6664226893,0.001357455,-7.74e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Single,Double, ,VAV,Elec,0.1562376184,0.0029248315,-2.49e-08,5.4818773102,0.0025477444,-1.718e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Double,Single, ,VAV,Elec,0.6046450292,0.0020274896,-1.47e-08,3.0243216331,0.0010350111,-4.63e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Single,Single, ,FCU,Gas,0.0023014222653,9.14745877e-05,-7.65e-11,0.9580869903348,0.0002210215953,-1.2262e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Single,Double, ,FCU,Gas,0.0058767654789,8.42789854e-05,-2.24e-10,1.3489000170936,0.0007138771339,-1.95986e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Double,Single, ,FCU,Gas,0.0001614419268,4.59217645e-05,3.167e-10,0.8103114696555,0.0001894804654,-2.1621e-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Single,Single, ,VAV,Gas,0.0121462038497,0.0001253215914,-1.1729e-09,3.6664226893,0.001357455,-7.74e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Single,Double, ,VAV,Gas,0.0066635344248,0.0001247440635,-1.062e-09,5.4818773102,0.0025477444,-1.718e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Double,Single, ,VAV,Gas,0.0257881104954,8.64724314e-05,-6.27e-10,3.0243216331,0.0010350111,-4.63e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peak Load Reduction Regressions,,,,,,Regression Form (a+bx+cx^2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Base Peak Load Coefficient,,,Cooling Coefficients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,HVAC Type,CSW Type,Fuel,,a,b,c,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,VAV,Single,N/A,,23.1194767611,0.0061555881,-6.276e-07,21.1986869536,0.0056719075,-4.592e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Single,VAV,Double,N/A,,23.0244366383,0.0060724896,-5.973e-07,40.880967509,0.006316191,-4.52e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Double,VAV,Single,N/A,,20.8159614111,0.0054446933,-4.64e-07,13.1678732668,0.0036668023,-3.665e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Single,FCU,Single,N/A,,=G20,=H20,=I20,=J20,=K20,=L20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Single,FCU,Double,N/A,,=G21,=H21,=I21,=J21,=K21,=L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Double,FCU,Single,N/A,,=G22,=H22,=I22,=J22,=K22,=L22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline EUI Regressions,,,,,,Regression Form (a+bx+cx^2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Coefficients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No.,Base,CSW Type, ,HVAC Type,Fuel,a,b,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single,N/A, ,VAV,Elec,50.1108862721,-0.0019976371,6.983e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Double,N/A, ,VAV,Elec,48.258277577,-0.0023833177,6.748e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Single,N/A, ,VAV,Gas,50.613398731,-0.0014570654,7.744e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Double,N/A, ,VAV,Gas,48.7670299226,-0.0019935172,7.509e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Single,N/A, ,FCU,Elec,34.7027936145,0.0003953469,5.551e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Double,N/A, ,FCU,Elec,33.3118669334,0.0003567305,4.938e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Single,N/A, ,FCU,Gas,36.0445097018,0.0001857321,6.944e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Double,N/A, ,FCU,Gas,35.715924789,-0.0003293451,6.558e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
