Savings Look-up Tables (using Regression Equations with HDD/CDD as independent variables),None,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28,None_29,None_30,None_31,None_32,None_33,None_34,None_35,None_36,None_37,None_38,None_39,None_40,None_41,None_42,None_43,None_44,None_45,None_46,None_47,None_48,None_49,None_50,None_51,None_52,None_53,None_54,None_55,None_56,None_57,None_58,None_59,None_60,None_61,None_62,None_63,None_64,None_65,None_66,None_67,None_68,None_69,None_70,None_71,None_72,None_73,None_74,None_75,None_76,None_77,None_78
, ,,,,,,,,Savings ,,,,,,EUI ,,,,,Loads,Loads,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"Electric Savings, kWh/SF",,"Gas Savings, therms/SF",,Regression_Done,,Base_EUI,CSW_EUI,Percent,Regression_Done,,Baseline Peak Cooling,Clg Load Reduced,Htg Load Reduced,Baseline Peak Cooling,Base Clg Load,CSW Ld Red,CSW Ld Red,CWS Clg Load,Regression_done,,Infil Savings Reduction Factors,,Cool Adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base,CSW_Type,Building_Size,Building_Type,HVAC_System_Type,Fuel_Type,PTHP,Hours,Look-up_Conc,Electric_savings_Heat_kWhperSF,electric_savings_Cooling_and_Aux_kWhperSF,Gas_savings_Heat_thermsperSF,,,,Base_EUI_kBtuperSFperyr,CSW_EUI_kBtuperSFperyr,Percent,Regression_Done,,baseline_peak_cooling_BtuhperSF,Clg_Load_reduced_BtuhperSF,htg_load_reduced_BtuhperSF,baseline_peak_cooling_Btuh,base_cooling_load_Tons,CSW_ld_red_Btuh,csw_ld_red_Tons,CWS_Clg_load_Tons,,,infiltration_savings_reduction_factors_Heat,infiltration_reduction_factors_Cool,Cool_adjust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Mid,Office,PVAV_Elec,Electric,,2080,"=CONCATENATE(A5,B5,C5,D5,E5,F5,H5)",='Regresson List_Office'!H4+'Regresson List_Office'!I4*Office!$C$23+'Regresson List_Office'!J4*Office!$C$23^2,='Regresson List_Office'!K4+'Regresson List_Office'!L4*Office!$C$24+'Regresson List_Office'!M4*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H$54+'Regresson List_Office'!$I$54*Office!$C$23+'Regresson List_Office'!$J$54*Office!$C$23^2,=P5-Office!$F$35,=1-(Q5/P5),Y,,='Regresson List_Office'!H44+'Regresson List_Office'!I44*Office!$C$24+'Regresson List_Office'!J44*Office!$C$24^2,='Regresson List_Office'!K44+'Regresson List_Office'!L44*Office!$C$24+'Regresson List_Office'!M44*Office!$C$24^2,,=U5*Office!$F$18,=X5/12000,=V5*Office!$F$27,=Z5/12000,=Y5-AA5,Y,,,,=AG6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Mid,Office,PVAV_Elec,Electric,,2912,"=CONCATENATE(A6,B6,C6,D6,E6,F6,H6)",='Regresson List_Office'!H5+'Regresson List_Office'!I5*Office!$C$23+'Regresson List_Office'!J5*Office!$C$23^2,='Regresson List_Office'!K5+'Regresson List_Office'!L5*Office!$C$24+'Regresson List_Office'!M5*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H$55+'Regresson List_Office'!$I$55*Office!$C$23+'Regresson List_Office'!$J$55*Office!$C$23^2,=P6-Office!$F$35,=1-(Q6/P6),Y,,=U5,=V5,,=U6*Office!$F$18,=X6/12000,=V6*Office!$F$27,=Z6/12000,=Y6-AA6,Y,,,,=AG7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Single,Mid,Office,PVAV_Elec,Electric,,8760,"=CONCATENATE(A7,B7,C7,D7,E7,F7,H7)",='Regresson List_Office'!H6+'Regresson List_Office'!I6*Office!$C$23+'Regresson List_Office'!J6*Office!$C$23^2,='Regresson List_Office'!K6+'Regresson List_Office'!L6*Office!$C$24+'Regresson List_Office'!M6*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H$56+'Regresson List_Office'!$I$56*Office!$C$23+'Regresson List_Office'!$J$56*Office!$C$23^2,=P7-Office!$F$35,=1-(Q7/P7),Y,,=U6,=V6,,=U7*Office!$F$18,=X7/12000,=V7*Office!$F$27,=Z7/12000,=Y7-AA7,Y,,,,=AG8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Mid,Office,PVAV_Elec,Electric,,2080,"=CONCATENATE(A8,B8,C8,D8,E8,F8,H8)",='Regresson List_Office'!H7+'Regresson List_Office'!I7*Office!$C$23+'Regresson List_Office'!J7*Office!$C$23^2,='Regresson List_Office'!K7+'Regresson List_Office'!L7*Office!$C$24+'Regresson List_Office'!M7*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H$54+'Regresson List_Office'!$I$54*Office!$C$23+'Regresson List_Office'!$J$54*Office!$C$23^2,=P8-Office!$F$35,=1-(Q8/P8),Y,,=U7,='Regresson List_Office'!K45+'Regresson List_Office'!L45*Office!$C$24+'Regresson List_Office'!M45*Office!$C$24^2,,=U8*Office!$F$18,=X8/12000,=V8*Office!$F$27,=Z8/12000,=Y8-AA8,Y,,,,=AG9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Mid,Office,PVAV_Elec,Electric,,2912,"=CONCATENATE(A9,B9,C9,D9,E9,F9,H9)",='Regresson List_Office'!H8+'Regresson List_Office'!I8*Office!$C$23+'Regresson List_Office'!J8*Office!$C$23^2,='Regresson List_Office'!K8+'Regresson List_Office'!L8*Office!$C$24+'Regresson List_Office'!M8*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H$55+'Regresson List_Office'!$I$55*Office!$C$23+'Regresson List_Office'!$J$55*Office!$C$23^2,=P9-Office!$F$35,=1-(Q9/P9),Y,,=U8,=V8,,=U9*Office!$F$18,=X9/12000,=V9*Office!$F$27,=Z9/12000,=Y9-AA9,Y,,,,=AG10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Single,Double,Mid,Office,PVAV_Elec,Electric,,8760,"=CONCATENATE(A10,B10,C10,D10,E10,F10,H10)",='Regresson List_Office'!H9+'Regresson List_Office'!I9*Office!$C$23+'Regresson List_Office'!J9*Office!$C$23^2,='Regresson List_Office'!K9+'Regresson List_Office'!L9*Office!$C$24+'Regresson List_Office'!M9*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H$56+'Regresson List_Office'!$I$56*Office!$C$23+'Regresson List_Office'!$J$56*Office!$C$23^2,=P10-Office!$F$35,=1-(Q10/P10),Y,,=U9,=V9,,=U10*Office!$F$18,=X10/12000,=V10*Office!$F$27,=Z10/12000,=Y10-AA10,Y,,,,=AG11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Double,Single,Mid,Office,PVAV_Elec,Electric,,2080,"=CONCATENATE(A11,B11,C11,D11,E11,F11,H11)",='Regresson List_Office'!H10+'Regresson List_Office'!I10*Office!$C$23+'Regresson List_Office'!J10*Office!$C$23^2,='Regresson List_Office'!K10+'Regresson List_Office'!L10*Office!$C$24+'Regresson List_Office'!M10*Office!$C$24^2,0,,Y,,='Regresson List_Office'!$H$57+'Regresson List_Office'!$I$57*Office!$C$23+'Regresson List_Office'!$J$57*Office!$C$23^2,=P11-Office!$F$35,=1-(Q11/P11),Y,,='Regresson List_Office'!H46+'Regresson List_Office'!I46*Office!$C$24+'Regresson List_Office'!J46*Office!$C$24^2,='Regresson List_Office'!K46+'Regresson List_Office'!L46*Office!$C$24+'Regresson List_Office'!M46*Office!$C$24^2,,=U11*Office!$F$18,=X11/12000,=V11*Office!$F$27,=Z11/12000,=Y11-AA11,Y,,,,=AG12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
